"Drug","Design","N_per_group","Total_animals","Probability_within_2fold","Median_max_symmetric_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Atezolizumab","2 dose groups","2",4,1,1.13491106387152,1.03405642675549,1.32277336435302
"Atezolizumab","2 dose groups","3",6,1,1.11749072179528,1.0293273616632,1.26591834158252
"Atezolizumab","2 dose groups","4",8,1,1.09801197899585,1.02379837244911,1.2272670777691
"Atezolizumab","2 dose groups","5",10,1,1.08729639462869,1.02203786729314,1.1988480204614
"Avelumab","2 dose groups","2",4,1,1.22055872892674,1.04762453597118,1.49169689540665
"Avelumab","2 dose groups","3",6,1,1.16378639279476,1.04641640048724,1.37114348444023
"Avelumab","2 dose groups","4",8,1,1.14138100331066,1.03205475681411,1.32566036451576
"Avelumab","2 dose groups","5",10,1,1.1344518839573,1.0361968886562,1.28798224528377
"Nivolumab","2 dose groups","2",4,1,1.15611698165692,1.03966635887046,1.36592398260475
"Nivolumab","2 dose groups","3",6,1,1.12398539486244,1.03158944033472,1.28403703801213
"Nivolumab","2 dose groups","4",8,1,1.11018062312471,1.02880906577051,1.251876243221
"Nivolumab","2 dose groups","5",10,1,1.09654526081272,1.02848883427672,1.22560263740885
"Pembrolizumab","2 dose groups","2",4,1,1.16280951102761,1.04230064390796,1.38648563347588
"Pembrolizumab","2 dose groups","3",6,1,1.13586554562769,1.03408273836592,1.321685791289
"Pembrolizumab","2 dose groups","4",8,1,1.11587134453498,1.02876507195268,1.25778343816012
"Pembrolizumab","2 dose groups","5",10,1,1.10590762555743,1.02784464920223,1.23179084212994
