"Drug","Dose_mgkg","N_per_group","Probability_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile","Reference_AUC_mean_ug_h_mL","Reference_AUC_median_ug_h_mL","Reference_AUC_geomean_ug_h_mL","Reference_AUC_CV_percent"
"Atezolizumab",0.3,2,1,1.00668916800163,0.809363625742511,1.24880844156981,1180.24372696861,1153.77845634343,1160.64100927861,18.5020823853224
"Atezolizumab",0.3,3,1,1.0080426242697,0.847616514205219,1.18727054289338,1180.24372696861,1153.77845634343,1160.64100927861,18.5020823853224
"Atezolizumab",0.3,4,1,1.00230284852727,0.858111475078035,1.15718443836972,1180.24372696861,1153.77845634343,1160.64100927861,18.5020823853224
"Atezolizumab",0.3,5,1,1.00033215967307,0.880484716443323,1.14478245500122,1180.24372696861,1153.77845634343,1160.64100927861,18.5020823853224
"Atezolizumab",3,2,1,0.999118463233698,0.818263727918716,1.24792749589398,12503.268858561,12209.1309594316,12310.1120711136,18.0544245503326
"Atezolizumab",3,3,1,0.9940772171206,0.840513567989663,1.18432975363572,12503.268858561,12209.1309594316,12310.1120711136,18.0544245503326
"Atezolizumab",3,4,1,0.989754530390649,0.854870809035281,1.15308208671442,12503.268858561,12209.1309594316,12310.1120711136,18.0544245503326
"Atezolizumab",3,5,1,0.992169418788751,0.874750485734374,1.12952350531659,12503.268858561,12209.1309594316,12310.1120711136,18.0544245503326
"Atezolizumab",10,2,1,1.00389473521144,0.814239695134399,1.24411534116773,42254.1950297109,41409.1918142705,41615.9506196792,17.8855433848568
"Atezolizumab",10,3,1,1.00027775390144,0.852295831881788,1.17686986871626,42254.1950297109,41409.1918142705,41615.9506196792,17.8855433848568
"Atezolizumab",10,4,1,0.999184352619572,0.868491764924836,1.14777452045915,42254.1950297109,41409.1918142705,41615.9506196792,17.8855433848568
"Atezolizumab",10,5,1,1.00070745421151,0.887980973929726,1.13914498125706,42254.1950297109,41409.1918142705,41615.9506196792,17.8855433848568
"Avelumab",0.3,2,1,0.991661090307015,0.754359589873425,1.33957133476882,295.53915942994,289.173473094105,286.854437314061,25.1500988945597
"Avelumab",0.3,3,1,0.999133830251713,0.800167432004717,1.26935821687825,295.53915942994,289.173473094105,286.854437314061,25.1500988945597
"Avelumab",0.3,4,1,0.998006276383762,0.825886114005772,1.20277694616353,295.53915942994,289.173473094105,286.854437314061,25.1500988945597
"Avelumab",0.3,5,1,0.999376424893192,0.838005119558032,1.20405601051067,295.53915942994,289.173473094105,286.854437314061,25.1500988945597
"Avelumab",3,2,1,0.993645705258236,0.747893806940426,1.33554854227083,3406.89929284881,3274.62741944338,3290.02491506836,27.2455376196877
"Avelumab",3,3,1,1.00295787791033,0.780859030304204,1.31569995249455,3406.89929284881,3274.62741944338,3290.02491506836,27.2455376196877
"Avelumab",3,4,1,1.00117063325473,0.81160388697528,1.2416120061668,3406.89929284881,3274.62741944338,3290.02491506836,27.2455376196877
"Avelumab",3,5,1,1.00339227329248,0.82577362877761,1.21062796782548,3406.89929284881,3274.62741944338,3290.02491506836,27.2455376196877
"Avelumab",10,2,1,0.997323633932131,0.738345796602154,1.37513860636208,11559.4293650378,11314.6937222237,11157.5785662524,27.3779265797812
"Avelumab",10,3,1,0.994504342858074,0.783902846350378,1.27987751740204,11559.4293650378,11314.6937222237,11157.5785662524,27.3779265797812
"Avelumab",10,4,1,0.985147582004178,0.803287411158854,1.23178603491189,11559.4293650378,11314.6937222237,11157.5785662524,27.3779265797812
"Avelumab",10,5,1,1.00131695404186,0.827634158371649,1.21147886330043,11559.4293650378,11314.6937222237,11157.5785662524,27.3779265797812
"Nivolumab",0.3,2,1,1.00840914246682,0.784462393772141,1.24384850290631,1726.1336969713,1746.20664201444,1695.01203068333,18.893364674371
"Nivolumab",0.3,3,1,0.999126363502974,0.830897371145994,1.20734588566703,1726.1336969713,1746.20664201444,1695.01203068333,18.893364674371
"Nivolumab",0.3,4,1,1.00146617357854,0.839627415215475,1.16954206888971,1726.1336969713,1746.20664201444,1695.01203068333,18.893364674371
"Nivolumab",0.3,5,1,1.00559968635785,0.862962876176344,1.14353559580997,1726.1336969713,1746.20664201444,1695.01203068333,18.893364674371
"Nivolumab",3,2,1,1.00641286539171,0.788259585032416,1.21622120784871,17302.5427007034,17495.0589252181,16990.5868194014,18.8964504344771
"Nivolumab",3,3,1,1.00723532339964,0.825356344895051,1.18856948211424,17302.5427007034,17495.0589252181,16990.5868194014,18.8964504344771
"Nivolumab",3,4,1,1.00356001749537,0.849333790612405,1.16855092589164,17302.5427007034,17495.0589252181,16990.5868194014,18.8964504344771
"Nivolumab",3,5,1,1.0043652905152,0.858966792483917,1.13433028674395,17302.5427007034,17495.0589252181,16990.5868194014,18.8964504344771
"Nivolumab",10,2,1,1.00207755594924,0.784779072474198,1.23691118061137,57686.5793453872,58326.0210129048,56646.5770015896,18.8962357137981
"Nivolumab",10,3,1,1.00265540031391,0.816635387429053,1.18522843003369,57686.5793453872,58326.0210129048,56646.5770015896,18.8962357137981
"Nivolumab",10,4,1,1.0087603550307,0.853531343637875,1.16537779212637,57686.5793453872,58326.0210129048,56646.5770015896,18.8962357137981
"Nivolumab",10,5,1,1.00432707536909,0.868025989980142,1.14428270451992,57686.5793453872,58326.0210129048,56646.5770015896,18.8962357137981
"Pembrolizumab",0.3,2,1,0.997530840740381,0.77097612963283,1.2733660150611,1290.78792505963,1278.08298620344,1263.79443109116,20.5009159595581
"Pembrolizumab",0.3,3,1,1.00634749758359,0.815676361692554,1.21151329804005,1290.78792505963,1278.08298620344,1263.79443109116,20.5009159595581
"Pembrolizumab",0.3,4,1,1.00405960434878,0.844088977126993,1.18917678432016,1290.78792505963,1278.08298620344,1263.79443109116,20.5009159595581
"Pembrolizumab",0.3,5,1,0.999667180085251,0.862285254536739,1.15435049276789,1290.78792505963,1278.08298620344,1263.79443109116,20.5009159595581
"Pembrolizumab",3,2,1,0.993408587970709,0.78306874209645,1.26151534962568,12926.3412986762,12797.5845675033,12655.7688588882,20.5058711332471
"Pembrolizumab",3,3,1,1.00008563604603,0.810882341055442,1.2014872296164,12926.3412986762,12797.5845675033,12655.7688588882,20.5058711332471
"Pembrolizumab",3,4,1,1.00183837677371,0.841243599871431,1.17377484520542,12926.3412986762,12797.5845675033,12655.7688588882,20.5058711332471
"Pembrolizumab",3,5,1,0.999039435709137,0.859509785066749,1.16110347867866,12926.3412986762,12797.5845675033,12655.7688588882,20.5058711332471
"Pembrolizumab",10,2,1,1.0045128506119,0.78254597601072,1.26577649855598,43092.8949801344,42663.1522736001,42190.7912546825,20.5064041269961
"Pembrolizumab",10,3,1,1.00767148770699,0.806980301090709,1.20695286380744,43092.8949801344,42663.1522736001,42190.7912546825,20.5064041269961
"Pembrolizumab",10,4,1,0.998965038725251,0.831439302770222,1.18233611867109,43092.8949801344,42663.1522736001,42190.7912546825,20.5064041269961
"Pembrolizumab",10,5,1,1.00168375993342,0.848608727554928,1.16518347214629,43092.8949801344,42663.1522736001,42190.7912546825,20.5064041269961
